Created model with fresh parameters.
Num params: 344962
Number of params: 344962 (retreival took 1.876255 secs)
F1: 0.0585267596541, EM: 0.06, for 100 samples
F1: 0.0463539723393, EM: 0.02, for 100 samples
F1: 0.064134502924, EM: 0.08, for 100 samples
F1: 0.0676584430063, EM: 0.08, for 100 samples
F1: 0.111661914343, EM: 0.07, for 100 samples
F1: 0.0505163559284, EM: 0.01, for 100 samples
F1: 0.149971105788, EM: 0.14, for 100 samples
F1: 0.109663731149, EM: 0.13, for 100 samples
F1: 0.0626593033963, EM: 0.07, for 100 samples
F1: 0.102536885849, EM: 0.08, for 100 samples
F1: 0.115881509939, EM: 0.12, for 100 samples
F1: 0.0859291820232, EM: 0.09, for 100 samples
F1: 0.108961038961, EM: 0.12, for 100 samples
F1: 0.19804012818, EM: 0.19, for 100 samples
F1: 0.135564358922, EM: 0.12, for 100 samples
F1: 0.165000843348, EM: 0.14, for 100 samples
F1: 0.110416259666, EM: 0.14, for 100 samples
F1: 0.165396825397, EM: 0.16, for 100 samples
F1: 0.125202925615, EM: 0.12, for 100 samples
F1: 0.178735966811, EM: 0.19, for 100 samples
F1: 0.165346384746, EM: 0.14, for 100 samples
F1: 0.269834165834, EM: 0.25, for 100 samples
F1: 0.141117699662, EM: 0.12, for 100 samples
F1: 0.209388067871, EM: 0.2, for 100 samples
F1: 0.199289244602, EM: 0.2, for 100 samples
F1: 0.272383040936, EM: 0.25, for 100 samples
F1: 0.233558411512, EM: 0.25, for 100 samples
F1: 0.262412698413, EM: 0.26, for 100 samples
F1: 0.180024050024, EM: 0.19, for 100 samples
F1: 0.246494949495, EM: 0.23, for 100 samples
F1: 0.250341491841, EM: 0.26, for 100 samples
F1: 0.252705202698, EM: 0.21, for 100 samples
F1: 0.161302243908, EM: 0.17, for 100 samples
F1: 0.238675324675, EM: 0.22, for 100 samples
F1: 0.246023809524, EM: 0.29, for 100 samples
F1: 0.263222222222, EM: 0.22, for 100 samples
F1: 0.245, EM: 0.27, for 100 samples
F1: 0.243057859703, EM: 0.25, for 100 samples
F1: 0.216342180161, EM: 0.21, for 100 samples
F1: 0.26654040404, EM: 0.24, for 100 samples
F1: 0.226749745552, EM: 0.2, for 100 samples
F1: 0.25614973262, EM: 0.24, for 100 samples
F1: 0.291635177688, EM: 0.29, for 100 samples
F1: 0.303332342376, EM: 0.29, for 100 samples
F1: 0.317128089665, EM: 0.3, for 100 samples
F1: 0.258760683761, EM: 0.24, for 100 samples
F1: 0.310812834225, EM: 0.3, for 100 samples
F1: 0.279808922559, EM: 0.23, for 100 samples
F1: 0.294796296296, EM: 0.3, for 100 samples
F1: 0.279534391534, EM: 0.27, for 100 samples
F1: 0.307780103996, EM: 0.3, for 100 samples
F1: 0.31443977591, EM: 0.25, for 100 samples
F1: 0.29202433199, EM: 0.31, for 100 samples
F1: 0.28619047619, EM: 0.28, for 100 samples
F1: 0.32169412516, EM: 0.31, for 100 samples
F1: 0.318619047619, EM: 0.29, for 100 samples
F1: 0.299247086247, EM: 0.28, for 100 samples
F1: 0.318641636142, EM: 0.27, for 100 samples
F1: 0.278967365967, EM: 0.3, for 100 samples
F1: 0.290103896104, EM: 0.26, for 100 samples
F1: 0.280000867553, EM: 0.29, for 100 samples
F1: 0.318266096275, EM: 0.26, for 100 samples
F1: 0.29294001933, EM: 0.25, for 100 samples
F1: 0.318590569561, EM: 0.27, for 100 samples
F1: 0.279818181818, EM: 0.28, for 100 samples
F1: 0.283564213564, EM: 0.23, for 100 samples
F1: 0.280348405404, EM: 0.29, for 100 samples
F1: 0.302199134199, EM: 0.29, for 100 samples
F1: 0.370362041467, EM: 0.37, for 100 samples
F1: 0.297773109244, EM: 0.27, for 100 samples
F1: 0.266023017903, EM: 0.29, for 100 samples
F1: 0.293274853801, EM: 0.3, for 100 samples
F1: 0.240767514691, EM: 0.23, for 100 samples
F1: 0.2849348659, EM: 0.27, for 100 samples
F1: 0.277829950932, EM: 0.29, for 100 samples
F1: 0.310446311858, EM: 0.28, for 100 samples
F1: 0.318492063492, EM: 0.33, for 100 samples
F1: 0.341201058201, EM: 0.28, for 100 samples
F1: 0.317444444444, EM: 0.32, for 100 samples
F1: 0.329246031746, EM: 0.29, for 100 samples
F1: 0.329523809524, EM: 0.34, for 100 samples
F1: 0.335222222222, EM: 0.3, for 100 samples
F1: 0.307705247968, EM: 0.32, for 100 samples
F1: 0.28843737549, EM: 0.26, for 100 samples
F1: 0.328242604417, EM: 0.33, for 100 samples
F1: 0.277270655271, EM: 0.24, for 100 samples
F1: 0.285348725349, EM: 0.27, for 100 samples
F1: 0.30028226363, EM: 0.27, for 100 samples
F1: 0.338826340326, EM: 0.32, for 100 samples
F1: 0.311166666667, EM: 0.3, for 100 samples
F1: 0.278836512998, EM: 0.29, for 100 samples
F1: 0.302972262672, EM: 0.31, for 100 samples
F1: 0.310801587302, EM: 0.33, for 100 samples
F1: 0.337800832787, EM: 0.32, for 100 samples
F1: 0.312946172621, EM: 0.31, for 100 samples
F1: 0.3255253714, EM: 0.31, for 100 samples
F1: 0.335733044733, EM: 0.35, for 100 samples
